keeper,catches,stumpings,total_dismissals,matches_as_keeper,batter,team,matches,innings,dismisals,not_out,runs,balls,fours,sixes,50s,100s,highest_score,strike_rate,average,dismissals_per_match,catches_per_match,stumpings_per_match,runs_score,keeping_score,keeper_score
S Sriharsha,6,2,8,5,S Sriharsha,United States of America,7,7,4,3,200,295,12,0,1,0,69,67.8,50.0,1.6,1.2,0.4,1.72,1.88,1.8
S Verma,19,19,38,23,S Verma,India,15,15,13,2,135,217,11,1,0,0,41,62.21,10.38,1.65,0.83,0.83,1.16,8.92,5.04
SA Campbelle,38,9,47,32,SA Campbelle,West Indies,71,71,64,7,1379,2287,126,6,4,1,105,60.3,21.55,1.47,1.19,0.28,11.85,11.03,11.44
SA Edwards,62,10,72,38,SA Edwards,Netherlands,58,58,49,9,1873,2120,136,17,17,0,83,88.35,38.22,1.89,1.63,0.26,16.09,16.9,16.49
SA Wijeratne,12,1,13,6,SA Wijeratne,Canada,9,9,9,0,191,275,16,1,2,0,59,69.45,21.22,2.17,2.0,0.17,1.64,3.05,2.34
SD Hope,147,14,161,91,SD Hope,West Indies,135,137,117,20,5666,7078,460,113,28,18,170,80.05,48.43,1.77,1.62,0.15,48.68,37.79,43.24
SJ Bryce,13,5,18,9,SJ Bryce,Scotland,10,10,10,0,298,417,35,0,2,0,84,71.46,29.8,2.0,1.44,0.56,2.56,4.23,3.4
SJ Taylor,40,24,64,37,SJ Taylor,England,51,51,48,3,1651,1932,193,1,9,2,147,85.46,34.4,1.73,1.08,0.65,14.18,15.02,14.6
SK Atai,9,1,10,7,SK Atai,Papua New Guinea,12,12,9,3,90,184,6,0,0,0,25,48.91,10.0,1.43,1.29,0.14,0.77,2.35,1.56
SK Patel,26,3,29,11,SK Patel,United States of America,20,20,18,2,655,869,68,6,3,1,152,75.37,36.39,2.64,2.36,0.27,5.63,6.81,6.22
SP Patil,7,1,8,5,SP Patil,United Arab Emirates,8,8,7,1,153,295,13,0,1,0,57,51.86,21.86,1.6,1.4,0.2,1.31,1.88,1.6
SS McKechnie,8,1,9,4,SS McKechnie,Hong Kong,6,6,6,0,73,142,4,0,0,0,29,51.41,12.17,2.25,2.0,0.25,0.63,2.11,1.37
ST Doheny,3,1,4,3,ST Doheny,Ireland,9,9,9,0,165,275,16,2,1,0,84,60.0,18.33,1.33,1.0,0.33,1.42,0.94,1.18
SV Samson,9,2,11,8,SV Samson,India,14,14,9,5,510,527,34,22,3,1,108,96.77,56.67,1.38,1.12,0.25,4.38,2.58,3.48
SW Billings,20,1,21,18,SW Billings,England,22,22,20,2,690,768,73,8,5,1,118,89.84,34.5,1.17,1.11,0.06,5.93,4.93,5.43
Sarfraz Ahmed,117,24,141,77,Sarfraz Ahmed,Pakistan,89,89,67,22,2289,2673,174,12,11,2,105,85.63,34.16,1.83,1.52,0.31,19.66,33.1,26.38
