player,team_bat,matches_bat,innings_bat,dismisals,not_out,runs,balls_bat,fours,sixes,50s,100s,highest_score,strike_rate_bat,average_bat,team_bowl,matches_bowl,innings_bowl,overs,balls_bowl,runs_conceded,wickets,economy,average_bowl,strike_rate_bowl,dot_pct,4w,5w,best_bowling,runs_score,bat_avg_score,wickets_score,econ_score,impact_score
SR Taylor,West Indies,120,120,114,6,3486,4994,343,42,22,3,114,69.8,30.58,West Indies,93,93,576.3,3458,2577,84,4.47,30.68,41.17,53.82,2,1,5/38,0.378419452887538,0.5495058400718777,0.3010752688172043,0.2731707317073172,36.84
SR Watson,Australia,150,150,128,22,5357,5949,542,123,31,9,185,90.05,41.85,Australia,140,140,948.3,5690,4780,162,5.04,29.51,35.12,51.09,4,1,5/40,0.5815240990013026,0.7520215633423181,0.5806451612903226,0.18048780487804883,53.52
ST Jayasuriya,Sri Lanka,133,133,128,5,4414,4796,517,89,15,14,152,92.04,34.48,Sri Lanka,105,105,677.5,4065,3245,105,4.79,30.9,38.71,44.7,5,1,5/17,0.4791576204950065,0.6195867026055705,0.3763440860215054,0.22113821138211387,42.48
Shahid Afridi,Pakistan,185,185,168,17,3913,2987,341,177,15,3,124,131.0,23.29,Pakistan,200,200,1738.8,10433,8118,259,4.67,31.34,40.28,47.98,14,7,7/14,0.4247720364741641,0.41850853548966754,0.9283154121863799,0.2406504065040651,53.78
Shakib Al Hasan,Bangladesh,200,200,175,25,6638,8133,620,51,52,8,124,81.62,37.93,Bangladesh,205,205,1792.3,10754,8249,279,4.6,29.57,38.54,52.26,13,3,5/30,0.7205818497611811,0.681581311769991,1.0,0.2520325203252034,70.29
Shoaib Malik,Pakistan,206,206,176,30,5981,7309,475,93,37,5,128,81.83,33.98,Pakistan,163,163,955.8,5735,4522,133,4.73,34.0,43.12,47.64,4,0,4/23,0.6492618323925314,0.6106019766397125,0.4767025089605735,0.23089430894308938,50.61
Sikandar Raza,Zimbabwe,117,118,98,20,3662,4236,307,85,20,6,135,86.45,37.37,Zimbabwe,100,100,709.5,4257,3476,83,4.9,41.88,51.29,47.78,4,0,4/41,0.397524967433782,0.67151841868823,0.2974910394265233,0.2032520325203252,38.35
TM Dilshan,Sri Lanka,259,259,229,30,9212,10777,1022,50,42,21,161,85.48,40.23,Sri Lanka,180,180,856.8,5141,4197,97,4.9,43.27,53.0,44.23,1,0,4/4,1.0,0.722911051212938,0.34767025089605735,0.2032520325203252,58.95
V Sehwag,India,165,165,163,2,5763,5649,769,107,27,10,219,102.02,35.36,India,86,86,412.5,2475,2083,58,5.05,35.91,42.67,43.52,1,0,4/6,0.6255970473295701,0.6353998203054807,0.2078853046594982,0.17886178861788626,41.29
Yuvraj Singh,India,209,209,176,33,6932,8102,729,133,42,12,150,85.56,39.39,India,126,126,678.3,4070,3477,102,5.13,34.09,39.9,45.11,3,1,5/31,0.7524967433782024,0.7078167115902966,0.3655913978494624,0.1658536585365854,51.02
